"","%IncMSE","IncNodePurity"
"SQUARE_FEET",2.04575837592478,435773598363.841
"U_STATE",14.9096702065899,6412032462860.17
"CENSUS_REGION",3.24295361705371,132214876064.884
"CENSUS_DIVISION",6.08821323652275,726952560541.022
"TOT_ATTRITION_2012",1.43690866276328,228863729366.088
"TOT_ATTRITION_2013",-0.655446273018273,174233218211.379
"NUM_ASSISTANT_MANAGERS",0.279388671278765,297909904994.37
"NUM_CUST_ACC_REPS",2.69812630055076,446215497468.901
"NUM_STORE_MANAGERS",4.27364837652342,467129333375.813
"NUM_EMP_PAY_TYPE_H",18.6992361976512,5529886147147.92
"AVG_PAY_RATE_PAY_TYPE_S",27.7729368024532,9138855353321.84
"AVG_PAY_RATE_PAY_TYPE_H",6.54965690942921,703307961451.099
"NAT_CURR_ROBBERY",2.38907177355351,332393490012.354
"NAT_CURR_BURGLARY",4.12839729784289,356866674550.265
"NAT_CURR_MOT_VEH_THEFT",1.87982720874634,264855178499.211
"NAT_PAST_ROBBERY",2.20900161727646,247401868478.666
"NAT_PAST_BURGLARY",2.20789895401164,363493824031.594
"NAT_PAST_MOT_VEH_THEFT",3.3314740744047,249526156871.452
"FRONTAGE_ROAD",-0.436569699534752,56357215322.89
"NUM_PARKING_SPACES",3.02333166786068,88394911221.6639
"SIGNAGE_VISIBILITY_IND",1.43734716531454,61316945361.3377
"AUTOZONE_IND",-1.73100713475362,8265288291.18215
"TARGET_IND",-0.747486953567318,1878413669.02911
"WALMART_IND",-1.04411110741887,14795188715.9375
"PAYLESS_IND",0.843821892993677,30983154198.4941
"COMP_PRESENCE_IND",-0.137450286850851,18426044276.9354
"STRIP_SHOP_CENTER_IND",-0.482425143966957,39153765818.11
"SINGLE_TENANT_IND",-0.627922342551478,13703629999.8952
"PAD_IN_SHOP_CENTER_IND",-0.12656445934339,14219386928.3656
"MARKETING_EXP_2013",0.246097208547084,408107067218.428
"MARKETING_EXP_2012",1.7973230265916,403719143537.71
"TOT_NUM_LEADS",21.7403634508459,10693695398427.1
"NUM_CONVERTED_TO_AGREEMENT",20.6212875819863,9873260085904.28
"PERC_CONVERTED_TO_AGREEMENT",4.52214863968819,900285889783.253
"URBANICITY",0.306161323699248,108110745227.323
"CYA01V001",3.42720299815874,223464613755.159
"CYB02V001",2.35054284167717,205664420629.737
"CYA12V001",3.60385196694581,227592871661.521
"CYA12V002",3.95483259387369,269134372582.178
"CYA12V003",1.79552478170272,265712181123.108
"CYA12V007",2.45754771257992,251263445567.336
"CYA12V008",3.95343632964161,264833632550.74
"CYA21V001",1.67456219648122,388948833963.304
"CYB07VBASE",2.7508942229742,168686577142.191
"XCX03V069",5.79985438121396,758360432205.325
"PERC_CYEA07V001",1.99944056228403,359918774979.965
"PERC_CYEA07V004",1.4418963935648,358318527543.38
"PERC_CYEA07V007",2.25542752332209,362582751472.69
"PERC_CYEA07V010",2.54132301017331,516952662131.143
"PERC_CYB11V006",0.488120604588189,376880042944.653
"PERC_CYB11V007",2.06694415251819,343405812138.162
"PERC_CYC13VV01",2.14726311766752,254749367830.8
